TimeDate,RAW
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,1898
5:33:19 AM 7/10/2021,1895
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,1904
5:33:19 AM 7/10/2021,1899
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,2047
5:33:19 AM 7/10/2021,1947
5:33:19 AM 7/10/2021,1796
5:33:19 AM 7/10/2021,1699
5:33:19 AM 7/10/2021,1750
5:33:19 AM 7/10/2021,1844
5:33:19 AM 7/10/2021,1858
5:33:19 AM 7/10/2021,1801
5:33:19 AM 7/10/2021,1728
5:33:19 AM 7/10/2021,1643
5:33:19 AM 7/10/2021,1554
5:33:19 AM 7/10/2021,1464
5:33:19 AM 7/10/2021,1351
5:33:19 AM 7/10/2021,1265
5:33:19 AM 7/10/2021,1323
5:33:19 AM 7/10/2021,1349
5:33:19 AM 7/10/2021,1315
5:33:19 AM 7/10/2021,1249
5:33:19 AM 7/10/2021,1186
5:33:19 AM 7/10/2021,1123
5:33:19 AM 7/10/2021,1058
5:33:19 AM 7/10/2021,968
5:33:19 AM 7/10/2021,858
5:33:19 AM 7/10/2021,837
5:33:19 AM 7/10/2021,914
5:33:19 AM 7/10/2021,972
5:33:19 AM 7/10/2021,963
5:33:19 AM 7/10/2021,913
5:33:19 AM 7/10/2021,850
5:33:19 AM 7/10/2021,790
5:33:19 AM 7/10/2021,640
5:33:19 AM 7/10/2021,540
5:33:19 AM 7/10/2021,517
5:33:19 AM 7/10/2021,586
5:33:19 AM 7/10/2021,672
5:33:19 AM 7/10/2021,698
5:33:19 AM 7/10/2021,672
5:33:19 AM 7/10/2021,627
5:33:19 AM 7/10/2021,581
5:33:19 AM 7/10/2021,537
5:33:19 AM 7/10/2021,488
5:33:19 AM 7/10/2021,403
5:33:19 AM 7/10/2021,336
5:33:19 AM 7/10/2021,384
5:33:19 AM 7/10/2021,476
5:33:19 AM 7/10/2021,524
5:33:19 AM 7/10/2021,507
5:33:19 AM 7/10/2021,461
5:33:19 AM 7/10/2021,412
5:33:19 AM 7/10/2021,380
5:33:19 AM 7/10/2021,329
5:33:19 AM 7/10/2021,251
5:33:19 AM 7/10/2021,177
5:33:19 AM 7/10/2021,183
5:33:19 AM 7/10/2021,279
5:33:19 AM 7/10/2021,362
5:33:19 AM 7/10/2021,322
5:33:19 AM 7/10/2021,273
5:33:19 AM 7/10/2021,227
5:33:19 AM 7/10/2021,167
5:33:19 AM 7/10/2021,72
5:33:19 AM 7/10/2021,-42
5:33:19 AM 7/10/2021,-46
5:33:19 AM 7/10/2021,89
5:33:19 AM 7/10/2021,230
5:33:19 AM 7/10/2021,284
5:33:19 AM 7/10/2021,267
5:33:19 AM 7/10/2021,225
5:33:19 AM 7/10/2021,166
5:33:19 AM 7/10/2021,99
5:33:19 AM 7/10/2021,7
5:33:19 AM 7/10/2021,-131
